genotipo;banda_nm;estatistica_u;p_valor;q_fdr;significativa_fdr
CD202;1930;44616.0;5.770543839413833e-43;1.262306464871776e-42;True
CD202;1928;44260.0;1.927843599341404e-41;3.9690897633499496e-41;True
CD202;1926;43900.0;6.268620077939408e-40;1.2188983484882183e-39;True
CD202;1922;43295.0;1.8747824924263818e-37;3.453546696574914e-37;True
CD202;1920;43036.0;2.031294013765426e-36;3.5547645240894954e-36;True
CD202;1355;8046.0;2.2254925739561152e-36;3.709154289926859e-36;True
CD202;1916;42728.0;3.302342764655932e-35;5.253727125588983e-35;True
CD202;1912;42678.0;5.169130951009874e-35;7.866068838493287e-35;True
CD202;1357;9256.0;9.555984309228616e-32;1.3935810450958397e-31;True
CD202;1360;11079.0;2.1973473634429555e-25;3.076286308820138e-25;True
CD202;1365;14277.0;5.132646284021479e-16;6.909331536182759e-16;True
CD202;1836;36232.0;1.3306931956892413e-14;1.724972661078646e-14;True
CD202;1367;15682.0;1.2801034789322294e-12;1.6001293486652865e-12;True
CD202;1388;35045.0;7.490319541039594e-12;9.040040825392614e-12;True
CD202;1368;16456.0;6.192725535581737e-11;7.224846458178694e-11;True
CD202;720;28487.0;0.033592013135536794;0.037926466443347996;True
CD202;1375;22984.0;0.06612468838687979;0.07232387792314977;False
CD202;710;27293.0;0.20586326921736064;0.21833983098810977;False
CD202;1378;26486.0;0.49408559425430776;0.5086175234970816;False
CD202;1377;25353.0;0.8954307410995416;0.8954307410995416;False
EMB48;1943;45732.0;2.703509177951208e-51;8.380878451648744e-50;True
EMB48;1939;45651.0;6.601857302743274e-51;9.260202611564238e-50;True
EMB48;1938;45622.0;9.080685661634736e-51;9.260202611564238e-50;True
EMB48;1948;45597.0;1.194864853105063e-50;9.260202611564238e-50;True
EMB48;1933;45398.0;1.0495876201989224e-49;6.507443245233318e-49;True
EMB48;1953;45338.0;2.0126203957583767e-49;1.039853871141828e-48;True
EMB48;1929;45098.0;2.6695875825317592e-48;1.182245929406922e-47;True
EMB48;1928;44997.0;7.85128720371476e-48;3.0423737914394693e-47;True
EMB48;1958;44978.0;9.611947854495433e-48;3.310782038770649e-47;True
EMB48;405;5301.0;2.86890090563353e-47;8.893592807463943e-47;True
EMB48;1963;44445.0;2.5938287127478532e-45;7.30988091774395e-45;True
EMB48;1919;44101.0;8.877189013276624e-44;2.293273828429795e-43;True
EMB48;1918;43997.0;2.5514197759429177e-43;6.084154850325419e-43;True
EMB48;415;6419.0;2.8534710738101656e-42;6.318400234865367e-42;True
EMB48;1355;9513.0;6.127571222781499e-30;1.266364719374843e-29;True
EMB48;1369;10060.0;5.478823837182964e-28;1.0615221184541993e-27;True
EMB48;715;39330.0;2.64542499220162e-25;4.8240102798970725e-25;True
EMB48;1372;10992.0;8.042858955970899e-25;1.3851590424172104e-24;True
EMB48;712;39037.0;2.4361048950331834e-24;3.974697460317299e-24;True
EMB48;711;38745.0;2.1282795955204636e-23;3.2988333730567186e-23;True
EMB48;1345;12176.0;4.377514422393372e-21;6.46204509972355e-21;True
EMB48;721;37891.0;9.311348237107861e-21;1.3120536152288349e-20;True
EMB48;722;37369.0;3.1702397701231494e-19;4.272931864079027e-19;True
EMB48;1376;13479.0;2.4082783319655967e-17;3.110692845455562e-17;True
EMB48;749;16873.0;2.0328881783991517e-09;2.5207813412149482e-09;True
EMB48;1381;17211.0;9.005150247481931e-09;1.0736909910459226e-08;True
EMB48;702;32586.0;4.4530709489834865e-08;5.112785163647707e-08;True
EMB48;731;30435.0;9.539499378059123e-05;0.00010561588597136886;True
EMB48;1719;21799.0;0.01639357724592231;0.01752416878012385;True
EMB48;739;21831.0;0.01746928627625609;0.01805159581879796;True
EMB48;1709;22002.0;0.024329941171767323;0.024329941171767323;True
